X,UV,Green,Red
1485,73,204,904
1486,77,203,1081
1487,91,188,1277
1488,61,176,1483
1489,79,193,1602
1490,79,165,1441
1491,70,164,962
1492,72,165,513
1493,89,156,357
1494,75,128,217
1495,79,138,173
1496,60,136,166
1497,68,146,173
1498,57,120,176
1499,90,132,203
1500,74,122,240
1501,76,116,239
1502,86,96,312
1503,85,98,334
1504,100,106,380
1505,76,106,446
1506,68,100,453
1507,79,86,455
1508,72,96,428
1509,71,86,383
1510,66,108,371
1511,68,116,389
1512,101,104,380
1513,77,89,391
1514,89,93,440
1515,99,92,453
1516,83,90,499
1517,73,105,444
1518,74,92,371
1519,57,89,324
1520,56,94,259
1521,61,95,272
1522,54,101,260
1523,64,98,248
1524,75,96,222
1525,80,105,220
1526,80,105,202
1527,88,134,178
1528,82,118,161
1529,68,112,182
1530,66,105,139
1531,58,101,153
1532,58,111,150
1533,48,124,142
1534,63,91,152
1535,55,118,138
1536,54,107,165
1537,73,126,142
1538,74,108,163
1539,86,155,208
1540,87,134,191
1541,71,102,207
1542,60,138,167
1543,48,142,150
1544,39,140,151
1545,43,124,135
1546,38,114,139
1547,49,124,111
1548,44,111,119
1549,46,88,102
1550,58,123,108
1551,75,100,100
1552,78,140,101
1553,52,130,115
1554,35,140,113
1555,23,146,110
1556,39,136,125
1557,34,124,144
1558,28,146,133
1559,31,134,115
1560,47,137,117
1561,44,120,103
1562,43,125,130
1563,51,131,115
1564,39,108,98
1565,44,112,88
1566,32,107,79
1567,21,108,58
1568,30,135,72
1569,33,127,73
1570,30,133,63
1571,27,122,68
1572,41,139,66
1573,36,136,74
1574,28,140,81
1575,41,129,84
1576,26,113,76
1577,21,110,82
1578,29,110,69
1579,29,115,80
1580,32,116,81
1581,16,129,70
1582,23,115,62
1583,31,127,56
1584,24,133,58
1585,23,140,56
1586,32,143,56
1587,24,131,53
1588,29,143,64
1589,21,124,60
1590,18,135,76
1591,28,114,86
1592,28,116,104
1593,32,112,124
1594,25,125,118
1595,26,108,111
1596,17,135,117
1597,22,138,99
1598,18,120,87
1599,22,130,82
1600,25,140,73
1601,26,139,58
1602,26,149,65
1603,25,141,68
1604,24,128,74
1605,27,131,85
1606,23,144,104
1607,30,154,100
1608,27,153,149
1609,21,165,167
1610,24,176,178
1611,25,149,168
1612,31,173,163
1613,22,157,158
1614,30,154,128
1615,26,149,115
1616,34,166,115
1617,38,169,110
1618,30,166,94
1619,21,183,111
1620,25,196,94
1621,28,196,136
1622,30,216,125
1623,27,178,150
1624,28,202,145
1625,35,204,169
1626,37,188,175
1627,39,202,223
1628,26,210,209
1629,23,221,181
1630,30,220,178
